action,case_rating,case_state,case_type
Assign handling firm 'SAD',5,Alabama,Any
Assign handling firm 'Hollis Wright and Clay',1-4,Alabama,Any
Assign handling firm 'Hollis Wright and Clay',1-4,Alabama,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,Alabama,Labour Law
Assign handling firm 'Run through Adam',1-5,Hawaii,Any
Assign handling firm 'Run through testing',4,Hawaii,Labour Law
Assign handling firm 'TEST HA',1-3,Hawaii,Medical Malfuntion
Assign handling firm 'SAD',1-5,Alaska,Any
Assign handling firm 'Morgan and Morgan',1-5,Alaska,Labour Law
Assign handling firm 'SAD',3,Alaska,Any
Assign handling firm 'test AL',1-2,Alaska,Nursing Home
Assign handling firm 'SAD',5,Louisiana,Any
Assign handling firm 'Blase',1-4,Louisiana,Any
Assign handling firm 'Clinesmith',1-4,Louisiana,Nursing Home
Assign handling firm 'SAD',1-4,Louisiana,Product Liability
Assign handling firm 'Workers Compensation LLC',1-4,Louisiana,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,Louisiana,Labour Law
Assign handling firm 'TEST LO',1-2,Louisiana,Medical Malfuntion
Assign handling firm 'REFER TO NJ SECTION',1-5,New Jersey,Any
Assign handling firm 'SAD',5,Oregon,Any
"Assign handling firm 'Bottini, Bottini and Oswald'",1-4,Oregon,Any
Assign handling firm 'SAD',1-4,Oregon,Nursing Home
"Assign handling firm 'Bottini, Bottini and Oswald'",1-4,Oregon,Product Liability
"Assign handling firm 'Bottini, Bottini, and Oswald'",1-4,Oregon,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,Oregon,Labour Law
Assign handling firm 'SAD',5,Minnesota,Any
Assign handling firm 'TSR Injury Law',1-4,Minnesota,Any
Assign handling firm 'SAD',1-4,Minnesota,Product Liability
Assign handling firm 'TSR Injury Law',1-4,Minnesota,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,Minnesota,Labour Law
Assign handling firm 'SAD',5,Michigan,Any
Assign handling firm 'Jay Trucks',1-4,Michigan,Any
Assign handling firm 'SAD',1-4,Michigan,Product Liability
Assign handling firm 'Michigan Auto Law'for Northern Part of State,1-4,Michigan,Automobile Accident
Assign handling firm 'Jay Trucks'for Southern Part of the State,1-4,Michigan,Automobile Accident
Assign handling firm 'Jay Trucks',1-4,Michigan,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,Michigan,Labour Law
Assign handling firm 'SAD',5,Massachusetts,Any
Assign handling firm 'Keches',1-4,Massachusetts,Any
Assign handling firm 'Keches',1-4,Massachusetts,Nursing Home
Assign handling firm 'Keches',1-4,Massachusetts,Product Liability
Assign handling firm 'Sean Flaherty',1-4,Massachusetts,Worker Compensation
Assign handling firm 'Sean Flaherty',1-4,Massachusetts,Labour Law
Assign handling firm 'SAD',5,Maine,Any
Assign handling firm 'Keches',1-4,Maine,Any
Assign handling firm 'Keches',1-4,Maine,Nursing Home
Assign handling firm 'Keches',1-4,Maine,Product Liability
